alert_id,timestamp,alert_type,source_ip,source_classification,destination_host,user,event_source,description,asset_criticality,host_exposure,mitre_tactic,mitre_technique_id,mitre_technique_name,base_severity,incident_score,incident_severity,priority,recommended_response
A005,2026-06-26 09:45:00,Known Malicious IP,198.51.100.25,External,web-server-01,unknown,Firewall,Connection attempt from known suspicious external IP,Critical,Internet-Facing,Command and Control,T1071,Application Layer Protocol,Critical,100,Critical,P1,"Block IP at firewall, search logs for related connections, review affected destination host."
A008,2026-06-26 10:25:00,Privilege Escalation,172.30.80.1,Internal,windows-endpoint,jdoe,Windows Security Event Log,User added to local administrators group,Critical,Internal,Privilege Escalation,T1068,Exploitation for Privilege Escalation,Critical,100,Critical,P1,"Remove unauthorized privileges, review account activity, isolate affected host if needed."
A009,2026-06-26 10:40:00,Malware Alert,172.30.80.1,Internal,windows-endpoint,jdoe,Endpoint Detection,Malware-like behavior detected by endpoint protection,Critical,Internal,Execution,T1204,User Execution,Critical,100,Critical,P1,"Isolate endpoint, collect evidence, run malware scan, begin incident response process."
A007,2026-06-26 10:12:00,Impossible Travel Login,192.0.2.77,External,cloud-admin-portal,asmith,Cloud Identity Logs,Login from unusual geographic location,High,Internet-Facing,Initial Access,T1078,Valid Accounts,High,85,Critical,P1,"Force password reset, revoke sessions, review MFA and identity logs."
A002,2026-06-26 09:18:00,Suspicious PowerShell,172.30.80.1,Internal,windows-endpoint,jdoe,Sysmon,Encoded PowerShell command executed,Critical,Internal,Execution,T1059.001,PowerShell,High,75,High,P2,"Collect PowerShell and Sysmon logs, review command line, isolate host if malicious intent is suspected."
A003,2026-06-26 09:21:00,New Windows Service,172.30.80.1,Internal,windows-endpoint,SYSTEM,Windows Security Event Log,New Windows service created unexpectedly,Critical,Internal,Persistence,T1543.003,Windows Service,High,75,High,P2,"Validate service name, binary path, and creator. Disable service if unauthorized."
A006,2026-06-26 10:05:00,High Risk CVE,10.0.5.25,Internal,db-server-01,scanner,Vulnerability Scanner,Critical CVE detected on database server,Critical,Internal,Initial Access,T1190,Exploit Public-Facing Application,High,65,Medium,P3,Patch affected asset or apply compensating controls. Prioritize based on exposure and asset criticality.
A001,2026-06-26 09:15:00,Failed SSH Login,203.0.113.50,External,linux-endpoint,admin,/var/log/auth.log,Multiple failed SSH login attempts detected,High,Internal,Credential Access,T1110,Brute Force,Medium,50,Medium,P3,"Block source IP if repeated, review authentication logs, confirm no successful login followed."
A004,2026-06-26 09:30:00,File Integrity Change,172.30.92.148,Internal,linux-endpoint,root,Wazuh FIM,Sensitive configuration file modified,High,Internal,Defense Evasion,T1565.001,Stored Data Manipulation,Medium,40,Low,P4,"Review modified file, validate change approval, restore from backup if unauthorized."
A010,2026-06-26 11:00:00,Nmap Scan Detected,172.30.84.93,Internal,linux-endpoint,secadmin,Wazuh,Port scanning activity detected against endpoint,Medium,Internal,Discovery,T1046,Network Service Discovery,Medium,35,Low,P4,Validate whether scan was authorized. Review source host and firewall logs.
